Security Category	Endpoint	Method	Vulnerability Test	Test Description	Payload/Attack Vector	Expected Result	Security Tool	RESULT
Chat/File Handling	/chat/group/<conversation_id>/members/add,/remove	POST/DELETE	Bulk Group Admin Enforcement	Check admin-only enforcement for add/remove operations	Non-admin sender_id	403 forbidden	Code Review	PASS
Chat/File Handling	/chat/group/<conversation_id>/members/<user_id>	DELETE	Single Member Remove Admin Enforcement	Check admin-only enforcement for single-member removal	Non-admin request	403 forbidden	Code Review	FAIL
Chat/File Handling	/chat/file-download/<file_id>	GET	Attachment Download Authorization	Check file binary retrieval requires authorization	Known file_id	403/401 denied	Code Review	FAIL
Chat/File Handling	/chat/group/<conversation_id>/icon	POST	Empty File Validation	Check empty icon upload is rejected	Empty file	400 validation error	Code Review	PASS
Chat/File Handling	/chat/group/<conversation_id>/icon	POST	Icon File Type Restriction	Check only safe image content types are allowed	Upload non-image file	Unsafe file rejected	Code Review	FAIL
Chat/File Handling	Chat upload subsystem	N/A	Malware Scanning	Check antivirus/malware scanning exists	EICAR-like sample	Upload blocked/quarantined	Code Review	NOT IN APP
Chat/File Handling	Dataverse attachment storage	N/A	At-Rest Encryption Assurance	Check storage encryption guarantees	Review deployed platform controls	Encrypted at rest	Runtime/Platform Review	RUNTIME VERIFY
Infrastructure	Deployed webapp	HTTPS	HTTPS Enforcement	Check app is only served securely	http:// access	Redirect or refuse insecure traffic	Runtime Test	RUNTIME VERIFY
Infrastructure	Deployed webapp	TLS	TLS Version and Cipher Strength	Check modern TLS configuration	TLS scan	Strong TLS only	Runtime Test	RUNTIME VERIFY
Infrastructure	/api/login and sensitive APIs	POST	Rate Limiting	Check repeated requests are throttled	Rapid repeated requests	429 or throttling	Code Review	FAIL
Infrastructure	Ingress/WAF	N/A	WAF Protection	Check WAF or equivalent protection exists	Common attack probes	Requests filtered	Runtime/Infra Review	RUNTIME VERIFY
Infrastructure	Reverse proxy / server	N/A	Method Restrictions	Check proxy/server blocks disallowed methods	TRACE/CONNECT etc	Unsupported methods blocked	Runtime Test	RUNTIME VERIFY
Infrastructure	Deployed stack	N/A	DoS Resilience	Check app resists resource exhaustion patterns	Slowloris/high-rate traffic	Service remains available	Runtime Test	RUNTIME VERIFY
Infrastructure	Monitoring stack	N/A	Security Monitoring	Check alerts/logging/monitoring for security events	Failed login/admin action review	Events monitored and alertable	Runtime/Infra Review	RUNTIME VERIFY
Non-Applicable	/api/salary/*	Any	Generic Salary API Check	Generic enterprise checklist item	Probe salary endpoints	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/mobile/*	Any	Generic Mobile API Check	Generic enterprise checklist item	Probe mobile endpoints	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/health	GET	Generic Health Endpoint Check	Generic enterprise checklist item	GET /api/health	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/backup	GET/POST	Generic Backup API Check	Generic enterprise checklist item	Probe backup endpoint	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/errors	GET	Generic Error API Check	Generic enterprise checklist item	Probe errors endpoint	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/logout	POST	Generic Logout API Check	Generic enterprise checklist item	POST /api/logout	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/upload/s3	POST	Generic S3 Upload Check	Generic enterprise checklist item	Probe s3 upload route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/google/calendar	GET/POST	Generic Calendar Integration Check	Generic enterprise checklist item	Probe google calendar route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/gateway/api/*	Any	Generic Gateway API Check	Generic enterprise checklist item	Probe gateway route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/web3/*	Any	Generic Web3 API Check	Generic enterprise checklist item	Probe web3 route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/zero-trust/*	Any	Generic Zero Trust API Check	Generic enterprise checklist item	Probe zero-trust route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/device/trust	GET/POST	Generic Device Trust Check	Generic enterprise checklist item	Probe device trust route	Endpoint absent	Code Review	NOT IN APP
Non-Applicable	/api/network/location	GET/POST	Generic Network Location Check	Generic enterprise checklist item	Probe network location route	Endpoint absent	Code Review	NOT IN APP

